	pearson_reconstructed	pearson_predicted	braycurtis_reconstructed	braycurtis_predicted
11116.A01B067.1195047	0.93345284	0.55221397	0.2017229	0.46738654
11116.I27A120.1193920	0.9808683	0.86535096	0.16489123	0.37001622
11116.I04A076.1196186	0.93155766	0.8231519	0.1572541	0.26472062
11116.L11A080.1196798	0.99560857	0.32830164	0.14473009	0.56333333
11116.L27A100.1197918	0.9949101	0.96443397	0.13638474	0.22924897
11116.L19A067.1197148	0.93171084	0.848532	0.14074336	0.24118021
11116.A09D094.1196049	0.99880594	0.8755166	0.10889195	0.5961343
11116.A23D082.1197180	0.99995214	0.9455845	0.032428965	0.36471358
11116.I13A081.1196440	0.9678028	0.6573061	0.18595023	0.41898084
11116.A25B073.1197957	0.9473421	0.6152904	0.20077117	0.3453219
11116.L03A091.1196634	0.9749352	0.8841898	0.18265943	0.3526838
11116.L06A069.1193948	0.92106324	0.7885699	0.15197586	0.29372174
11116.L28A067.1197409	0.8778287	0.706628	0.19529843	0.31341204
11116.L03A062.1198111	0.9579735	0.826029	0.12580681	0.27449867
11116.I07A075.1193823	0.97924703	0.16530938	0.25367865	0.4988564
11116.C25A61.1198392	0.97491366	0.844431	0.1740684	0.45827675
11116.L32A076.1196174	0.8792462	0.5917462	0.2330675	0.32266563
11116.A19A082.1193961	0.9997361	0.99075466	0.057274565	0.29039013
11116.L25A080.1194793	0.923003	0.59335035	0.1827144	0.45087546
11116.I18A120.1197820	0.9971153	0.8952115	0.11199237	0.31641486
11116.C24A63.1197430	0.9898151	0.93129164	0.14401288	0.48097968
11116.L13A092.1194139	0.99838173	0.9798418	0.105179004	0.3190937
11116.L20A072.1197129	0.9432991	0.78197515	0.17457974	0.2749541
11116.A13C076.1193737	0.9745778	0.7919092	0.122343116	0.31405327
11116.I15A091.1198060	0.98421603	0.83605963	0.16856909	0.36408627
11116.L30A073.1194172	0.9520928	0.8871954	0.1615199	0.24168582
11116.A23D061.1193640	0.9506617	0.7785389	0.1667144	0.32711044
11116.A04A100.1194151	0.9615011	0.40055194	0.21200302	0.5391893
11116.I21A104.1197455	0.9994118	0.9632673	0.097328775	0.29861423
